,Locality,Pin Code,Local Latitude,Local Longitude,Sector
0,Colaba,400005,18.915091,72.8259691,South
1,Henry Road,400039,18.9203617,72.8318368,South
2,Nariman Point,400021,18.9253433,72.8180282,South
3,Mantralaya,400032,18.92766235,72.82703930367538,South
4,Hutatma Chowk,400023,18.933307,72.831377,South
5,Raj Bhavan,400035,18.9410646,72.7939174,South
6,Mumbai CSMT,400001,18.94136785,72.83526733695547,South
7,Marine Lines,400020,18.9456701,72.823781,South
8,Kalbadevi,400002,18.9492575,72.8279382,South
9,Girgaon,400004,18.9543165,72.8179082,South
10,Mandvi,400003,18.9550564,72.8347919,South
11,Malabar Hill,400006,18.9581616,72.8033665,South
12,Dongri,400009,18.9622265,72.836795,South
13,Grant Road,400007,18.9644472,72.8135727,South
14,Mazgaon,400010,18.9680519,72.84001187036267,South
15,Nagpada,400008,18.9681782,72.8286009,South
16,Cumballa Hill,400026,18.9693073,72.8065375,South
17,Mumbai Central,400008,18.9695855,72.8193152,South
18,Tulsi Wadi,400034,18.9779948,72.8191822,South
19,Rani Baug,400027,18.97865435,72.83681822408445,South
20,Jacob Circle,400011,18.9810531,72.82678629995553,South
21,Mahalakshmi,400018,18.9892129,72.8186798,South
22,Parel Tank Road,400033,18.9917011,72.8417031,South
23,Delisle Road,400013,18.9932602,72.8310115,South
24,Nehru Nagar,400024,19.0010485,72.8194265,South
25,Sewri,400015,19.001418,72.8542575,South
26,Parel,400012,19.0094817,72.8376614,South
27,Prabhadevi,400025,19.0148811,72.8279556,South
28,Wadala Village,400031,19.0158783,72.8550732,South
29,BARC,400085,19.017460800000002,72.92459214488267,East
30,Dadar,400014,19.019282,72.8428757,South
31,Antop Hill,400037,19.0207608,72.8652556,South
32,Worli Koliwada,400018,19.0211024,72.8177207,South
33,Bhavanishankar Road,400028,19.022237,72.8356574,South
34,Matunga,400019,19.0274356,72.8501467,West
35,Fertilizer Colony,400074,19.0368069,72.8960683,East
36,Anushakti Nagar,400094,19.0395778,72.9221562,East
37,Mahim,400016,19.0423145,72.8398344,West
38,Sion East,400022,19.0428153,72.8653563,West
39,Dharavi,400017,19.044463,72.8586177,West
40,BSNL Telecom Factory,400088,19.046900450000003,72.91846239254781,East
41,Chembur West,400071,19.0571098,72.8993875,East
42,Bandra (West),400050,19.0583358,72.8302669,West
43,Bandra (East),400051,19.0616565,72.8498111,West
44,Shivaji Nagar,400043,19.0637885,72.9249,East
45,Kurla,400070,19.0652797,72.8793805,East
46,Tilak Nagar,400089,19.0692377,72.8978464,East
47,Vidya Nagari,400098,19.0723479,72.8629187,West
48,Khar,400052,19.0724575,72.8337068,West
49,Rajawadi,400077,19.0782013,72.90235517639476,East
50,Kalina Camp,400029,19.081481150000002,72.86190756491538,West
51,Tagore Road,400054,19.0821047,72.836199,West
52,Sen Nagar,400055,19.0828321,72.8434193,West
53,Pant Nagar,400075,19.0868209,72.9156026,East
54,Ghatkopar (West),400086,19.0897194,72.9045972,East
55,Barve Nagar,400084,19.0952831,72.9001776,East
56,Vile Parle (East),400057,19.0962884,72.8483799,West
57,Sahar,400099,19.0995955,72.867284,West
58,Pirojsha Nagar,400079,19.101763,72.9266747,East
59,Vile Parle (West),400056,19.1038725,72.8402903,West
60,Juhu,400049,19.1070215,72.8275275,West
61,Saki Naka,400072,19.1082208,72.8835824,East
62,Marol Village,400059,19.1144347,72.8776145,East
63,Andheri (East),400069,19.1158835,72.854202,West
64,Tagore Nagar,400083,19.1176276,72.9322006,East
65,Powai,400071,19.1187195,72.9073476,East
66,MIDC,400093,19.1205119,72.8646365,West
67,Cama Road,400058,19.1206513,72.8438656,West
68,SEEPZ,400096,19.1253556,72.8751701719707,West
69,Versova,400061,19.13025205,72.8213774957082,West
70,Janata Colony,400060,19.132504,72.8574656,West
71,IIT Mumbai,400076,19.13261855,72.91497912536826,East
72,NITIE,400087,19.1349868,72.8997985,East
73,Jogeshwari (West),400102,19.136394,72.8373817,West
74,Poonam Nagar,400041,19.1369178,72.869128,West
75,Madh,400061,19.1375285,72.7918857,West
76,Lokhandwala,400053,19.1431889,72.824081,West
77,Bhandup West,400078,19.1462636,72.9339461,East
78,Bhandup (East),400042,19.1485568,72.9470657,East
79,Oshiwara,400104,19.1502437,72.8342294,West
80,Aarey Milk Colony,400065,19.1561292,72.8707223,North
81,Goregaon (West),400062,19.1633281,72.8411995,North
82,Bangur Nagar,400090,19.1688142,72.8336777,North
83,Goregaon (East),400063,19.1692623,72.8552548,North
84,Mulund (East),400081,19.1704719,72.9610447,East
85,Mulund (West),400080,19.1719717,72.9511956,East
86,Dindoshi,400063,19.1740198,72.8695219,North
87,Mulund Colony,400082,19.1777778,72.9383511,East
88,Malad (West),400064,19.1840129,72.8412155,North
89,Malad (East),400097,19.1860219,72.8563181,North
90,Kharodi,400095,19.191684,72.8140978,North
91,Orlem,400064,19.1944819,72.8389662,North
92,Kandivli (West),400067,19.2006415,72.8485534,North
93,Kandivli (East),400101,19.2080542,72.8621435,North
94,Thakur Village,400101,19.2097189,72.8759248,North
95,Poisar,400067,19.2132196,72.8466024,North
96,Charkop,400067,19.2141193,72.8258652,North
97,Borivali East,400066,19.2267228,72.8619328,North
98,Gorai Suburb,400091,19.2293526,72.826585,North
99,Borivali West,400092,19.2294561,72.8479905,North
100,Mount Poinsur,400103,19.2432246,72.8527611,North
101,Dahisar,400068,19.2494501,72.8596206,North
